,股票代码,股票简称,注册地,办公地,中文全称,所属城市
0,000001,平安银行,深圳,深圳,平安银行股份有限公司,深圳
1,000002,万科A,深圳,深圳,万科企业股份有限公司,深圳
2,000003,PT 金田A,深圳,深圳,金田实业集团股份有限公司,深圳
3,000004,国华网安,深圳,深圳,深圳国华网安科技股份有限公司,深圳
4,000005,ST 星源,深圳,深圳,深圳世纪星源股份有限公司,深圳
5,000006,深振业A,深圳,深圳,深圳市振业(集团)股份有限公司,深圳
6,000007,*ST 全新,深圳,深圳,深圳市全新好股份有限公司,深圳
7,000008,神州高铁,北京,北京,神州高铁技术股份有限公司,北京
8,000009,中国宝安,深圳,深圳,中国宝安集团股份有限公司,深圳
9,000010,美丽生态,深圳,深圳,深圳美丽生态股份有限公司,深圳
10,000011,深物业A,深圳,深圳,深圳市物业发展(集团)股份有限公司,深圳
11,000012,南玻A,深圳,深圳,中国南玻集团股份有限公司,深圳
12,000013,ST 石化A,深圳,深圳,深圳石化工业集团股份有限公司,深圳
13,000014,沙河股份,深圳,深圳,沙河实业股份有限公司,深圳
14,000015,PT 中浩A,深圳,深圳,深圳中浩集团股份有限公司,深圳
15,000016,深康佳A,深圳,深圳,康佳集团股份有限公司,深圳
16,000017,深中华A,深圳,深圳,深圳中华自行车(集团)股份有限公司,深圳
17,000018,神州长城,深圳,北京,神州长城股份有限公司,深圳
18,000019,深粮控股,深圳,深圳,深圳市深粮控股股份有限公司,深圳
19,000020,深华发A,深圳,深圳,深圳中恒华发股份有限公司,深圳
20,000021,深科技,深圳,深圳,深圳长城开发科技股份有限公司,深圳
21,000022,深赤湾A,深圳,深圳,深圳赤湾港航股份有限公司,深圳
22,000023,深天地A,深圳,深圳,深圳市天地(集团)股份有限公司,深圳
23,000024,招商地产,深圳,深圳,招商局地产控股股份有限公司,深圳
24,000025,特力A,深圳,深圳,深圳市特力(集团)股份有限公司,深圳
25,000026,飞亚达,深圳,深圳,飞亚达精密科技股份有限公司,深圳
26,000027,深圳能源,深圳,深圳,深圳能源集团股份有限公司,深圳
27,000028,国药一致,深圳,深圳,国药集团一致药业股份有限公司,深圳
28,000029,深深房A,深圳,深圳,深圳经济特区房地产(集团)股份有限公司,深圳
29,000030,富奥股份,吉林省长春市,吉林省长春市,富奥汽车零部件股份有限公司,长春
30,000031,大悦城,深圳,深圳,大悦城控股集团股份有限公司,深圳
31,000032,深桑达A,深圳,深圳,深圳市桑达实业股份有限公司,深圳
32,000033,新都酒店,深圳,深圳,深圳新都酒店股份有限公司,深圳
33,000034,神州数码,深圳,北京,神州数码集团股份有限公司,深圳
34,000035,中国天楹,江苏省海安市,江苏省海安市,中国天楹股份有限公司,南通
35,000036,华联控股,深圳,深圳,华联控股股份有限公司,深圳
36,000037,深南电A,深圳,深圳,深圳南山热电股份有限公司,深圳
37,000038,深大通,深圳,深圳,深圳大通实业股份有限公司,深圳
38,000039,中集集团,深圳,深圳,中国国际海运集装箱(集团)股份有限公司,深圳
39,000040,东旭蓝天,深圳,深圳,东旭蓝天新能源股份有限公司,深圳
40,000042,中洲控股,深圳,深圳,深圳市中洲投资控股股份有限公司,深圳
41,000043,中航善达,深圳,深圳,中航善达股份有限公司,深圳
42,000045,深纺织A,深圳,深圳,深圳市纺织(集团)股份有限公司,深圳
43,000046,泛海控股,北京,北京,泛海控股股份有限公司,北京
44,000047,ST 中侨,深圳,深圳,深圳市中侨发展股份有限公司,深圳
45,000048,京基智农,深圳,深圳,深圳市京基智农时代股份有限公司,深圳
46,000049,德赛电池,深圳,深圳,深圳市德赛电池科技股份有限公司,深圳
47,000050,深天马A,深圳,深圳,天马微电子股份有限公司,深圳
48,000055,方大集团,深圳,深圳,方大集团股份有限公司,深圳
49,000056,皇庭国际,深圳,深圳,深圳市皇庭国际企业股份有限公司,深圳
50,000058,深赛格,深圳,深圳,深圳赛格股份有限公司,深圳
51,000059,华锦股份,辽宁省盘锦市,辽宁省盘锦市,北方华锦化学工业股份有限公司,盘锦
52,000060,中金岭南,深圳,深圳,深圳市中金岭南有色金属股份有限公司,深圳
53,000061,农产品,深圳,深圳,深圳市农产品集团股份有限公司,深圳
54,000062,深圳华强,深圳,深圳,深圳华强实业股份有限公司,深圳
55,000063,中兴通讯,深圳,深圳,中兴通讯股份有限公司,深圳
56,000065,北方国际,北京,北京,北方国际合作股份有限公司,北京
57,000066,中国长城,深圳,深圳,中国长城科技集团股份有限公司,深圳
58,000068,华控赛格,深圳,深圳,深圳华控赛格股份有限公司,深圳
59,000069,华侨城A,深圳,深圳,深圳华侨城股份有限公司,深圳
60,000070,特发信息,深圳,深圳,深圳市特发信息股份有限公司,深圳
61,000078,海王生物,深圳,深圳,深圳市海王生物工程股份有限公司,深圳
62,000088,盐田港,深圳,深圳,深圳市盐田港股份有限公司,深圳
63,000089,深圳机场,深圳,深圳,深圳市机场股份有限公司,深圳
64,000090,天健集团,深圳,深圳,深圳市天健(集团)股份有限公司,深圳
65,000096,广聚能源,深圳,深圳,深圳市广聚能源股份有限公司,深圳
66,000099,中信海直,深圳,深圳,中信海洋直升机股份有限公司,深圳
67,000100,TCL科技,广东省惠州市,广东省惠州市,TCL科技集团股份有限公司,惠州
68,000150,宜华健康,广东省汕头市,广东省汕头市,宜华健康医疗股份有限公司,汕头
69,000151,中成股份,北京,北京,中成进出口股份有限公司,北京
70,000153,丰原药业,安徽省无为市,合肥,安徽丰原药业股份有限公司,芜湖
71,000155,川能动力,成都,成都,四川省新能源动力股份有限公司,成都
72,000156,华数传媒,杭州,杭州,华数传媒控股股份有限公司,杭州
73,000157,中联重科,长沙,长沙,中联重科股份有限公司,长沙
74,000158,常山北明,河北省石家庄市,河北省石家庄市,石家庄常山北明科技股份有限公司,石家庄
75,000159,国际实业,北京,北京,新疆国际实业股份有限公司,乌鲁木齐
76,000166,申万宏源,北京,北京,申万宏源集团股份有限公司,乌鲁木齐
77,000301,东方盛虹,苏州,苏州,江苏东方盛虹股份有限公司,苏州
78,000333,美的集团,佛山,佛山,美的集团股份有限公司,佛山
79,000338,潍柴动力,山东省潍坊市,山东省潍坊市,潍柴动力股份有限公司,潍坊
80,000400,许继电气,河南省许昌市,河南省许昌市,许继电气股份有限公司,许昌
81,000401,冀东水泥,河北省唐山市,河北省唐山市,唐山冀东水泥股份有限公司,唐山
82,000402,金融街,北京,北京,金融街控股股份有限公司,北京
83,000403,派林生物,山西省太原市,广东省湛江市,派斯双林生物制药股份有限公司,太原
84,000404,长虹华意,江西省景德镇市,江西省景德镇市,长虹华意压缩机股份有限公司,景德镇
85,000405,ST 鑫光,珠海市,珠海市,珠海鑫光集团股份有限公司,珠海
86,000406,石油大明,山东省东营市,山东省东营市,中国石化胜利油田大明集团股份有限公司,东营
87,000407,胜利股份,山东省济南市,山东省济南市,山东胜利股份有限公司,济南
88,000408,藏格矿业,青海省格尔木市,青海省格尔木市,藏格矿业股份有限公司,格尔木
89,000409,云鼎科技,山东省济南市,山东省济南市,云鼎科技股份有限公司,济南
90,000410,ST 沈机,沈阳,沈阳,沈阳机床股份有限公司,沈阳
91,000411,英特集团,杭州,杭州,浙江英特集团股份有限公司,杭州
92,000412,北方五环,长春市,长春市,长春北方五环实业股份有限公司,长春
93,000413,东旭光电,河北省石家庄市,北京,东旭光电科技股份有限公司,石家庄
94,000415,渤海租赁,新疆维吾尔自治区乌鲁木齐市,新疆维吾尔自治区乌鲁木齐市,渤海租赁股份有限公司,乌鲁木齐
95,000416,民生控股,青岛,北京,民生控股股份有限公司,青岛
96,000417,合肥百货,合肥,合肥,合肥百货大楼集团股份有限公司,合肥
97,000418,小天鹅A,江苏省无锡市,江苏省无锡市,无锡小天鹅股份有限公司,无锡
98,000419,通程控股,长沙,长沙,长沙通程控股股份有限公司,长沙
99,000420,吉林化纤,吉林省吉林市,吉林省吉林市,吉林化纤股份有限公司,吉林
100,000421,南京公用,南京,南京,南京公用发展股份有限公司,南京
101,000422,湖北宜化,湖北省宜昌市,湖北省宜昌市,湖北宜化化工股份有限公司,宜昌
102,000423,东阿阿胶,山东省聊城市,山东省聊城市,东阿阿胶股份有限公司,聊城
103,000425,徐工机械,江苏省徐州市,江苏省徐州市,徐工集团工程机械股份有限公司,徐州
104,000426,兴业矿业,内蒙古自治区赤峰市,内蒙古自治区赤峰市,内蒙古兴业矿业股份有限公司,赤峰
105,000428,华天酒店,长沙,长沙,华天酒店集团股份有限公司,长沙
106,000429,粤高速A,广州,广州,广东省高速公路发展股份有限公司,广州
107,000430,张家界,湖南省张家界市,湖南省张家界市,张家界旅游集团股份有限公司,张家界
108,000488,晨鸣纸业,山东省寿光市,山东省寿光市,山东晨鸣纸业集团股份有限公司,寿光
109,000498,山东路桥,山东省济南市,山东省济南市,山东高速路桥集团股份有限公司,济南
110,000501,鄂武商A,武汉,武汉,武汉武商集团股份有限公司,武汉
111,000502,*ST 绿景,广州,广州,绿景控股股份有限公司,广州
112,000503,国新健康,海南省海口市,海南省海口市,国新健康保障服务集团股份有限公司,海口
113,000504,南华生物,长沙,长沙,南华生物医药股份有限公司,长沙
114,000505,京粮控股,海南省海口市,海南省海口市,海南京粮控股股份有限公司,海口
115,000506,中润资源,山东省济南市,山东省济南市,中润资源投资股份有限公司,济南
116,000507,珠海港,广东省珠海市,广东省珠海市,珠海港股份有限公司,珠海
117,000509,*ST 华塑,四川省南充市,成都,华塑控股股份有限公司,南充
118,000510,新金路,四川省德阳市,四川省德阳市,四川新金路集团股份有限公司,德阳
119,000511,*ST 烯碳,沈阳,沈阳,银基烯碳新材料集团股份有限公司,沈阳
120,000513,丽珠集团,广东省珠海市,广东省珠海市,丽珠医药集团股份有限公司,珠海
121,000514,渝开发,重庆,重庆,重庆渝开发股份有限公司,重庆
122,000515,攀渝钛业,重庆,重庆,攀钢集团重庆钛业股份有限公司,重庆
123,000516,国际医学,西安,西安,西安国际医学投资股份有限公司,西安
124,000517,荣安地产,宁波,宁波,荣安地产股份有限公司,宁波
125,000518,四环生物,江苏省江阴市,江苏省江阴市,江苏四环生物股份有限公司,无锡
126,000519,中兵红箭,湖南省湘潭市,河南省南阳市,中兵红箭股份有限公司,湘潭
127,000520,长航凤凰,武汉,武汉,长航凤凰股份有限公司,武汉
128,000521,长虹美菱,合肥,合肥,长虹美菱股份有限公司,合肥
129,000522,白云山A,广州,广州,广州白云山制药股份有限公司,广州
130,000523,*ST 浪奇,广州,广州,广州市浪奇实业股份有限公司,广州
131,000524,岭南控股,广州,广州,广州岭南集团控股股份有限公司,广州
132,000525,ST 红太阳,南京,南京,南京红太阳股份有限公司,南京
133,000526,学大教育,福建省厦门市,北京,学大(厦门)教育科技集团股份有限公司,厦门
134,000527,美的电器,佛山,佛山,广东美的电器股份有限公司,佛山
135,000528,柳工,广西壮族自治区柳州市,广西壮族自治区柳州市,广西柳工机械股份有限公司,柳州
136,000529,广弘控股,广州,广州,广东广弘控股股份有限公司,广州
137,000530,冰山冷热,辽宁省大连市,辽宁省大连市,冰山冷热科技股份有限公司,大连
138,000531,穗恒运A,广州,广州,广州恒运企业集团股份有限公司,广州
139,000532,华金资本,广东省珠海市,广东省珠海市,珠海华金资本股份有限公司,珠海
140,000533,顺钠股份,佛山,佛山,广东顺钠电气股份有限公司,佛山
141,000534,万泽股份,广东省汕头市,广东省汕头市,万泽实业股份有限公司,汕头
142,000535,*ST 猴王,湖北省宜昌市,湖北省宜昌市,猴王股份有限公司,宜昌
143,000536,华映科技,福建省福州市,福建省福州市,华映科技(集团)股份有限公司,福州
144,000537,广宇发展,天津,北京,天津广宇发展股份有限公司,天津
145,000538,云南白药,云南省昆明市,云南省昆明市,云南白药集团股份有限公司,昆明
146,000539,粤电力A,广州,广州,广东电力发展股份有限公司,广州
147,000540,中天金融,贵州省贵阳市,贵州省贵阳市,中天金融集团股份有限公司,贵阳
148,000541,佛山照明,佛山,佛山,佛山电器照明股份有限公司,佛山
149,000542,TCL通讯,广东省惠州市,广东省惠州市,TCL通讯设备股份有限公司,惠州
150,000543,皖能电力,合肥,合肥,安徽省皖能股份有限公司,合肥
151,000544,中原环保,郑州,郑州,中原环保股份有限公司,郑州
152,000545,金浦钛业,吉林省吉林市,南京,金浦钛业股份有限公司,吉林
153,000546,金圆股份,吉林省长春市,杭州,金圆环保股份有限公司,长春
154,000547,航天发展,福建省福州市,福建省福州市,航天工业发展股份有限公司,福州
155,000548,湖南投资,长沙,长沙,湖南投资集团股份有限公司,长沙
156,000549,湘火炬A,湖南省株洲市,湖南省株洲市,湘火炬汽车集团股份有限公司,株洲
157,000550,江铃汽车,江西省南昌市,江西省南昌市,江铃汽车股份有限公司,南昌
158,000551,创元科技,苏州,苏州,创元科技股份有限公司,苏州
159,000552,靖远煤电,甘肃省白银市,甘肃省白银市,甘肃靖远煤电股份有限公司,白银
160,000553,安道麦A,北京,北京,安道麦股份有限公司,荆州
161,000554,泰山石油,山东省泰安市,山东省泰安市,中国石化山东泰山石油股份有限公司,泰安
162,000555,神州信息,深圳,北京,神州数码信息服务股份有限公司,深圳
163,000556,PT 南洋,海口市,海口市,南洋航运集团股份有限公司,海口
164,000557,西部创业,北京,北京,宁夏西部创业实业股份有限公司,银川
165,000558,莱茵体育,杭州,成都,莱茵达体育发展股份有限公司,杭州
166,000559,万向钱潮,杭州,杭州,万向钱潮股份有限公司,杭州
167,000560,我爱我家,云南省昆明市,北京,我爱我家控股集团股份有限公司,昆明
168,000561,烽火电子,陕西省宝鸡市,陕西省宝鸡市,陕西烽火电子股份有限公司,宝鸡
169,000562,宏源证券,新疆乌鲁木齐市,新疆乌鲁木齐市,宏源证券股份有限公司,乌鲁木齐
170,000563,陕国投A,西安,西安,陕西省国际信托股份有限公司,西安
171,000564,*ST 大集,西安,西安,供销大集集团股份有限公司,西安
172,000565,渝三峡A,重庆,重庆,重庆三峡油漆股份有限公司,重庆
173,000566,海南海药,海南省海口市,海南省海口市,海南海药股份有限公司,海口
174,000567,海德股份,海南省海口市,北京,海南海德资本管理股份有限公司,海口
175,000568,泸州老窖,四川省泸州市,四川省泸州市,泸州老窖股份有限公司,泸州
176,000569,长城股份,四川省江油市,四川省江油市,攀钢集团四川长城特殊钢股份有限公司,绵阳
177,000570,苏常柴A,江苏省常州市,江苏省常州市,常柴股份有限公司,常州
178,000571,ST 大洲,海南省海口市,上海,新大洲控股股份有限公司,海口
179,000572,海马汽车,海南省海口市,海南省海口市,海马汽车股份有限公司,海口
180,000573,粤宏远A,东莞,东莞,东莞宏远工业区股份有限公司,东莞
181,000576,甘化科工,广东省江门市,广东省江门市,广东甘化科工股份有限公司,江门
182,000578,盐湖集团,青海省格尔木市,青海省格尔木市,青海盐湖工业集团股份有限公司,格尔木
183,000581,威孚高科,江苏省无锡市,江苏省无锡市,无锡威孚高科技集团股份有限公司,无锡
184,000582,北部湾港,广西壮族自治区北海市,广西壮族自治区南宁市,北部湾港股份有限公司,北海
185,000583,*ST 托普,四川省自贡市,成都,四川托普软件投资股份有限公司,自贡
186,000584,哈工智能,江苏省江阴市,上海,江苏哈工智能机器人股份有限公司,江阴
187,000585,*ST 东电,海南省海口市,海南省海口市,东北电气发展股份有限公司,海口
188,000586,汇源通信,成都,成都,四川汇源光通信股份有限公司,成都
189,000587,*ST 金洲,黑龙江省伊春市,北京,金洲慈航集团股份有限公司,伊春
190,000588,ST 粤金曼,广东省潮州市,广东省潮州市,广东金曼集团股份有限公司,潮州
191,000589,贵州轮胎,贵州省贵阳市,贵州省贵阳市,贵州轮胎股份有限公司,贵阳
192,000590,启迪药业,湖南省衡阳市,湖南省衡阳市,启迪药业集团股份公司,衡阳
193,000591,太阳能,重庆,北京,中节能太阳能股份有限公司,重庆
194,000592,平潭发展,福建省福州市,福建省福州市,中福海峡(平潭)发展股份有限公司,福州
195,000593,德龙汇能,成都,成都,德龙汇能集团股份有限公司,成都
196,000594,*ST 国恒,天津,天津,天津国恒铁路控股股份有限公司,天津
197,000595,宝塔实业,北京,宁夏回族自治区银川市,宝塔实业股份有限公司,银川
198,000596,古井贡酒,安徽省亳州市,安徽省亳州市,安徽古井贡酒股份有限公司,亳州
199,000597,东北制药,沈阳,沈阳,东北制药集团股份有限公司,沈阳
200,000598,兴蓉环境,成都,成都,成都市兴蓉环境股份有限公司,成都
201,000599,青岛双星,青岛,青岛,青岛双星股份有限公司,青岛
202,000600,建投能源,河北省石家庄市,河北省石家庄市,河北建投能源投资股份有限公司,石家庄
203,000601,韶能股份,广东省韶关市,广东省韶关市,广东韶能集团股份有限公司,韶关
204,000602,金马集团,广东省潮州市,广东省潮州市,广东金马旅游集团股份有限公司,潮州
205,000603,盛达资源,北京,北京,盛达金属资源股份有限公司,北京
206,000605,渤海股份,北京,北京,渤海水业股份有限公司,北京
207,000606,ST 顺利,青海省西宁市,青海省西宁市,顺利办信息服务股份有限公司,西宁
208,000607,华媒控股,杭州,杭州,浙江华媒控股股份有限公司,杭州
209,000608,阳光股份,广西壮族自治区南宁市,深圳,阳光新业地产股份有限公司,南宁
210,000609,*ST 中迪,北京,北京,北京中迪投资股份有限公司,北京
211,000610,西安旅游,西安,西安,西安旅游股份有限公司,西安
212,000611,*ST 天首,内蒙古自治区包头市,北京,内蒙古天首科技发展股份有限公司,包头
213,000612,焦作万方,河南省焦作市,河南省焦作市,焦作万方铝业股份有限公司,焦作
214,000613,*ST 东海A,海南省三亚市,海南省三亚市,海南大东海旅游中心股份有限公司,三亚
215,000615,奥园美谷,湖北省襄阳市,湖北省襄阳市,奥园美谷科技股份有限公司,襄阳
216,000616,ST 海投,辽宁省大连市,北京,海航投资集团股份有限公司,大连
217,000617,中油资本,新疆维吾尔自治区克拉玛依市,北京,中国石油集团资本股份有限公司,克拉玛依
218,000618,ST 吉化,中国吉林省吉林市,中国吉林省吉林市,吉林化学工业股份有限公司,吉林
219,000619,海螺型材,安徽省芜湖市,安徽省芜湖市,芜湖海螺型材科技股份有限公司,芜湖
220,000620,新华联,北京,北京,新华联文化旅游发展股份有限公司,北京
221,000621,*ST 比特,上海,上海,比特科技控股股份有限公司,上海
222,000622,恒立实业,湖南省岳阳市,湖南省岳阳市,恒立实业发展集团股份有限公司,岳阳
223,000623,吉林敖东,吉林省延边朝鲜族自治州敦化市,吉林省延边朝鲜族自治州敦化市,吉林敖东药业集团股份有限公司,敦化
224,000625,长安汽车,重庆,重庆,重庆长安汽车股份有限公司,重庆
225,000626,远大控股,江苏省连云港市,江苏省连云港市,远大产业控股股份有限公司,连云港
226,000627,天茂集团,湖北省荆门市,湖北省荆门市,天茂实业集团股份有限公司,荆门
227,000628,高新发展,成都,成都,成都高新发展股份有限公司,成都
228,000629,攀钢钒钛,四川省攀枝花市,四川省攀枝花市,攀钢集团钒钛资源股份有限公司,攀枝花
229,000630,铜陵有色,安徽省铜陵市,安徽省铜陵市,铜陵有色金属集团股份有限公司,铜陵
230,000631,顺发恒业,吉林省长春市,吉林省长春市,顺发恒业股份公司,长春
231,000632,三木集团,福建省福州市,福建省福州市,福建三木集团股份有限公司,福州
232,000633,合金投资,北京,北京,新疆合金投资股份有限公司,和田
233,000635,英力特,宁夏回族自治区石嘴山市,宁夏回族自治区石嘴山市,宁夏英力特化工股份有限公司,石嘴山
234,000636,风华高科,广东省肇庆市,广东省肇庆市,广东风华高新科技股份有限公司,肇庆
235,000637,茂化实华,广东省茂名市,广东省茂名市,茂名石化实华股份有限公司,茂名
236,000638,*ST 万方,吉林省白山市,北京,万方城镇投资发展股份有限公司,白山
237,000639,西王食品,山东省邹平市,山东省邹平市,西王食品股份有限公司,滨州
238,000650,仁和药业,江西省南昌市,江西省南昌市,仁和药业股份有限公司,南昌
239,000651,格力电器,广东省珠海市,广东省珠海市,珠海格力电器股份有限公司,珠海
240,000652,泰达股份,天津,天津,天津泰达股份有限公司,天津
241,000653,ST 九州,福建省厦门市,福建省厦门市,福建九州集团股份有限公司,厦门
242,000655,金岭矿业,山东省淄博市,山东省淄博市,山东金岭矿业股份有限公司,淄博
243,000656,金科股份,重庆,重庆,金科地产集团股份有限公司,重庆
244,000657,中钨高新,海南省海口市,湖南省株洲市,中钨高新材料股份有限公司,海口
245,000658,ST 海洋,厦门市,厦门市,厦门海洋实业集团股份有限公司,厦门
246,000659,珠海中富,广东省珠海市,广东省珠海市,珠海中富实业股份有限公司,珠海
247,000660,*ST 南华,广州,广州,广州南华西实业股份有限公司,广州
248,000661,长春高新,吉林省长春市,吉林省长春市,长春高新技术产业(集团)股份有限公司,长春
249,000662,天夏智慧,广西壮族自治区梧州市,杭州,天夏智慧城市科技股份有限公司,梧州
250,000663,永安林业,福建省永安市,福建省永安市,福建省永安林业(集团)股份有限公司,三明
251,000665,湖北广电,武汉,武汉,湖北省广播电视信息网络股份有限公司,武汉
252,000666,经纬纺机,北京,北京,经纬纺织机械股份有限公司,北京
253,000667,美好置业,北京,武汉,美好置业集团股份有限公司,昆明
254,000668,荣丰控股,青岛,北京,荣丰控股集团股份有限公司,青岛
255,000669,ST 金鸿,吉林省吉林市,北京,金鸿控股集团股份有限公司,吉林
256,000670,*ST 盈方,北京,上海,盈方微电子股份有限公司,荆州
257,000671,阳光城,福建省福州市,上海,阳光城集团股份有限公司,福州
258,000672,上峰水泥,甘肃省白银市,杭州,甘肃上峰水泥股份有限公司,白银
259,000673,*ST 当代,山西省大同市,北京,当代东方投资股份有限公司,大同
260,000675,ST 银山,四川省内江市,四川省内江市,四川银山化工集团股份有限公司,内江
261,000676,智度股份,广州,北京,智度科技股份有限公司,广州
262,000677,恒天海龙,山东省潍坊市,山东省潍坊市,恒天海龙股份有限公司,潍坊
263,000678,襄阳轴承,湖北省襄阳市,湖北省襄阳市,襄阳汽车轴承股份有限公司,襄阳
264,000679,大连友谊,辽宁省大连市,辽宁省大连市,大连友谊(集团)股份有限公司,大连
265,000680,山推股份,山东省济宁市,山东省济宁市,山推工程机械股份有限公司,济宁
266,000681,视觉中国,江苏省常州市,北京,视觉(中国)文化发展股份有限公司,常州
267,000682,东方电子,山东省烟台市,山东省烟台市,东方电子股份有限公司,烟台
268,000683,远兴能源,内蒙古自治区鄂尔多斯市,内蒙古自治区鄂尔多斯市,内蒙古远兴能源股份有限公司,鄂尔多斯
269,000685,中山公用,广东省中山市,广东省中山市,中山公用事业集团股份有限公司,中山
270,000686,东北证券,吉林省长春市,吉林省长春市,东北证券股份有限公司,长春
271,000687,*ST 华讯,深圳,深圳,华讯方舟股份有限公司,深圳
272,000688,国城矿业,重庆,北京,国城矿业股份有限公司,重庆
273,000689,ST 宏业,汕头市,汕头市,汕头宏业集团股份有限公司,汕头
274,000690,宝新能源,广东省梅州市,广州,广东宝丽华新能源股份有限公司,梅州
275,000691,亚太实业,甘肃省兰州市,甘肃省兰州市,甘肃亚太实业发展股份有限公司,兰州
276,000692,惠天热电,沈阳,沈阳,沈阳惠天热电股份有限公司,沈阳
277,000693,ST 华泽,成都,成都,成都华泽钴镍材料股份有限公司,成都
278,000695,滨海能源,天津,天津,天津滨海能源发展股份有限公司,天津
279,000697,炼石航空,陕西省咸阳市,成都,炼石航空科技股份有限公司,咸阳
280,000698,沈阳化工,沈阳,沈阳,沈阳化工股份有限公司,沈阳
281,000699,S*ST 佳纸,黑龙江省佳木斯市,黑龙江省佳木斯市,佳木斯金地造纸股份有限公司,佳木斯
282,000700,模塑科技,江苏省江阴市,江苏省江阴市,江南模塑科技股份有限公司,江阴
283,000701,厦门信达,福建省厦门市,福建省厦门市,厦门信达股份有限公司,厦门
284,000702,正虹科技,湖南省岳阳市,湖南省岳阳市,湖南正虹科技发展股份有限公司,岳阳
285,000703,恒逸石化,广西壮族自治区北海市,杭州,恒逸石化股份有限公司,北海
286,000705,浙江震元,浙江省绍兴市,浙江省绍兴市,浙江震元股份有限公司,绍兴
287,000707,*ST 双环,湖北省应城市,湖北省应城市,湖北双环科技股份有限公司,孝感
288,000708,中信特钢,湖北省黄石市,江苏省江阴市,中信泰富特钢集团股份有限公司,黄石
289,000709,河钢股份,河北省石家庄市,河北省石家庄市,河钢股份有限公司,石家庄
290,000710,贝瑞基因,成都,北京,成都市贝瑞和康基因技术股份有限公司,成都
291,000711,京蓝科技,黑龙江省哈尔滨市,北京,京蓝科技股份有限公司,哈尔滨
292,000712,锦龙股份,东莞,广东省清远市,广东锦龙发展股份有限公司,东莞
293,000713,丰乐种业,合肥,合肥,合肥丰乐种业股份有限公司,合肥
294,000715,中兴商业,沈阳,沈阳,中兴-沈阳商业大厦(集团)股份有限公司,沈阳
295,000716,黑芝麻,广西壮族自治区玉林市,广西壮族自治区南宁市,南方黑芝麻集团股份有限公司,玉林
296,000717,韶钢松山,广东省韶关市,广东省韶关市,广东韶钢松山股份有限公司,韶关
297,000718,苏宁环球,吉林省吉林市,上海,苏宁环球股份有限公司,吉林
298,000719,中原传媒,河南省焦作市,郑州,中原大地传媒股份有限公司,焦作
299,000720,新能泰山,山东省泰安市,南京,山东新能泰山发电股份有限公司,泰安
300,000721,西安饮食,西安,西安,西安饮食股份有限公司,西安
301,000722,湖南发展,长沙,长沙,湖南发展集团股份有限公司,长沙
302,000723,美锦能源,山西省太原市,山西省太原市,山西美锦能源股份有限公司,太原
303,000725,京东方A,北京,北京,京东方科技集团股份有限公司,北京
304,000726,鲁泰A,山东省淄博市,山东省淄博市,鲁泰纺织股份有限公司,淄博
305,000727,冠捷科技,南京,南京,冠捷电子科技股份有限公司,南京
306,000728,国元证券,合肥,合肥,国元证券股份有限公司,合肥
307,000729,燕京啤酒,北京,北京,北京燕京啤酒股份有限公司,北京
308,000730,*ST 环保,沈阳,沈阳,沈阳特种环保设备制造股份有限公司,沈阳
309,000731,四川美丰,四川省遂宁市,四川省德阳市,四川美丰化工股份有限公司,遂宁
310,000732,泰禾集团,福建省三明市,福建省福州市,泰禾集团股份有限公司,三明
311,000733,振华科技,贵州省贵阳市,贵州省贵阳市,中国振华(集团)科技股份有限公司,贵阳
312,000735,罗牛山,海南省海口市,海南省海口市,罗牛山股份有限公司,海口
313,000736,中交地产,重庆,重庆,中交地产股份有限公司,重庆
314,000737,北方铜业,山西省运城市,山西省运城市,北方铜业(山西)股份有限公司,运城
315,000738,航发控制,江苏省无锡市,江苏省无锡市,中国航发动力控制股份有限公司,无锡
316,000739,普洛药业,浙江省东阳市,浙江省东阳市,普洛药业股份有限公司,金华
317,000748,长城信息,长沙,长沙,长城信息产业股份有限公司,长沙
318,000750,国海证券,广西壮族自治区桂林市,广西壮族自治区南宁市,国海证券股份有限公司,桂林
319,000751,锌业股份,辽宁省葫芦岛市,辽宁省葫芦岛市,葫芦岛锌业股份有限公司,葫芦岛
320,000752,*ST 西发,西藏自治区拉萨市,成都,西藏发展股份有限公司,拉萨
321,000753,漳州发展,福建省漳州市,福建省漳州市,福建漳州发展股份有限公司,漳州
322,000755,山西路桥,山西省临汾市,山西省太原市,山西路桥股份有限公司,临汾
323,000756,新华制药,山东省淄博市,山东省淄博市,山东新华制药股份有限公司,淄博
324,000757,浩物股份,四川省内江市,成都,四川浩物机电股份有限公司,内江
325,000758,中色股份,北京,北京,中国有色金属建设股份有限公司,北京
326,000759,中百集团,武汉,武汉,中百控股集团股份有限公司,武汉
327,000760,*ST 斯太,湖北省荆州市,江苏省常州市,斯太尔动力股份有限公司,荆州
328,000761,本钢板材,辽宁省本溪市,辽宁省本溪市,本钢板材股份有限公司,本溪
329,000762,西藏矿业,西藏自治区拉萨市,西藏自治区拉萨市,西藏矿业发展股份有限公司,拉萨
330,000763,锦州石化,重庆,重庆,锦州石化股份有限公司,锦州
331,000765,ST 华信,武汉,武汉,武汉华信高新技术股份有限公司,武汉
332,000766,通化金马,吉林省通化市,吉林省通化市,通化金马药业集团股份有限公司,通化
333,000767,晋控电力,山西省太原市,山西省太原市,晋能控股山西电力股份有限公司,太原
