,股票代码,股票简称,注册地,办公地,中文全称,所属城市
1365,002843,泰嘉股份,长沙,长沙,湖南泰嘉新材料科技股份有限公司,长沙
1366,002845,同兴达,深圳,深圳,深圳同兴达科技股份有限公司,深圳
1367,002846,英联股份,广东省汕头市,广东省汕头市,广东英联包装股份有限公司,汕头
1368,002847,盐津铺子,湖南省浏阳市,长沙,盐津铺子食品股份有限公司,浏阳
1369,002848,高斯贝尔,湖南省郴州市,湖南省郴州市,高斯贝尔数码科技股份有限公司,郴州
1370,002849,威星智能,杭州,杭州,浙江威星智能仪表股份有限公司,杭州
1371,002850,科达利,深圳,深圳,深圳市科达利实业股份有限公司,深圳
1372,002851,麦格米特,深圳,深圳,深圳麦格米特电气股份有限公司,深圳
1373,002852,道道全,湖南省岳阳市,长沙,道道全粮油股份有限公司,岳阳
1374,002853,皮阿诺,广东省中山市,广东省中山市,广东皮阿诺科学艺术家居股份有限公司,中山
1375,002855,捷荣技术,东莞,东莞,东莞捷荣技术股份有限公司,东莞
1376,002856,美芝股份,深圳,深圳,深圳市美芝装饰设计工程股份有限公司,深圳
1377,002857,三晖电气,郑州,郑州,郑州三晖电气股份有限公司,郑州
1378,002858,力盛赛车,上海,上海,上海力盛赛车文化股份有限公司,上海
1379,002859,洁美科技,浙江省湖州市,杭州,浙江洁美电子科技股份有限公司,湖州
1380,002860,星帅尔,杭州,杭州,杭州星帅尔电器股份有限公司,杭州
1381,002861,瀛通通讯,湖北省咸宁市,湖北省咸宁市,瀛通通讯股份有限公司,咸宁
1382,002862,实丰文化,广东省汕头市,广东省汕头市,实丰文化发展股份有限公司,汕头
1383,002863,今飞凯达,浙江省金华市,浙江省金华市,浙江今飞凯达轮毂股份有限公司,金华
1384,002864,盘龙药业,陕西省商洛市,西安,陕西盘龙药业集团股份有限公司,商洛
1385,002865,钧达股份,海南省海口市,海南省海口市,海南钧达汽车饰件股份有限公司,海口
1386,002866,传艺科技,江苏省高邮市,江苏省高邮市,江苏传艺科技股份有限公司,高邮
1387,002867,周大生,深圳,深圳,周大生珠宝股份有限公司,深圳
1388,002868,绿康生化,福建省南平市,福建省南平市,绿康生化股份有限公司,南平
1389,002869,金溢科技,深圳,深圳,深圳市金溢科技股份有限公司,深圳
1390,002870,香山股份,广东省中山市,广东省中山市,广东香山衡器集团股份有限公司,中山
1391,002871,伟隆股份,山东省即墨市,青岛,青岛伟隆阀门股份有限公司,即墨
