,city,stkcd
48,北京,600979#000806#600538#002012#002196#002056#002057#002147#002347#600375#600808#002299#002300#000683#600295#002424#600367#000685#002035#002249#002511#600872#000858#002386#600137#600793#000008#000046#000065#000151#000402#000603#000609#000666#000725#000729#000758#000786#000798#000802#000839#000860#000882#000916#000931#000938#000969#000970#000996#002038#002051#002065#002066#002148#002151#002153#002186#002271#002279#002306#002310#002350#002362#002368#002371#002373#002383#002385#002392#002405#002410#002462#002467#002504#300002#300003#300005#300010#300011#300016#300034#300036#300038#300045#300048#300055#300058#300065#300070#300072#300073#300075#300079#300081#300104#300117#300139#300150#600007#600008#600011#600015#600016#600028#600031#600037#600050#600055#600056#600058#600062#600085#600100#600118#600138#600159#600161#600166#600195#600198#600206#600240#600246#600258#600263#600266#600270#600271#600288#600299#600361#600372#600376#600386#600405#600410#600429#600435#600463#600485#600489#600511#600528#600536#600560#600578#600582#600588#600657#600658#600723#600730#600733#600764#600791#600855#600859#600860#600861#600871#600886#600890#600900#600962#600980#601088#601101#601111#601117#601126#601169#601186#601288#601299#601390#601398#601588#601600#601618#601628#601668#601718#601766#601818#601857#601888#601898#601939#601988#601989#601991#601998#002070#002509#002476#600308#300156#300157#600155#601558#300166#002542#300174#300182#601992#300191#300200#300204#002573#300212#300213#002439#300223#300229#300231#000620#000605#002599#300251#601886#002612#601908#002616#601669#600313#300271#000959#601336#002642#002646#300282#002649#300285#300287#300291#300289#002657#002658#002659#002662#601800#300296#300302#300309#002668#601388#603000#603123#300312#300315#300318#300325#300324#300332#300344#300352#300353#002701#300359#002707#300365#002721#300379#300369#300383#002713#300386#603328#300384#300392#601016#300406#601226#603588#002738#300364#300418#002739#300419#603698#002745#601198#300374#300430#002748#300431#300449#603025#603818#300444#300445#300456#300455#603598#300465#603026#300477#601985#603616#300485#002771#603979#002779#002780#300496#603778#603377#002792#300513#603737#300523#600977#603569#603986#300541#300542#300552#603859#603888#603060#002819#300562#002829#603098#300579#002824#300593#601858#601881#603208#300608#300612#603603#603138#002853#603903#603303#603803#002868#002870#002878#300661#300662#300663#300667#002884#603825#603860#300688#300691#603557#601949#002895#603127#002893#603533#603103#300719#603970#300684#300736#603516#603871#601066#603590#002933#601068#300749#300674#601319#300756
49,德阳,000510#601268#300092
50,济宁,000680#002078#002193#600789#603367#603856#002921
51,郑州,000544#000885#001896#002216#002296#300007#300064#600020#600066#600121#600222#601717#300179#300248#300259#600817#300480#603508#603658#601375#002857#300732#002936
52,珠海,000507#000513#000532#000651#000659#002016#002017#002063#002180#002319#002492#300030#300050#300053#600185#600325#600656#300246#300273#300381#300458#300529#300561#300620#300681#002898#002923
53,乌鲁木齐,000415#000562#002092#002100#002205#002307#002524#600084#600419#600545#600581#600778#600888#300159#601069#603227#002800#603393#603032#300603#002941
54,岳阳,000702#000819#002113#300035#600963#002549#000622#603959
55,呼和浩特,600201#600863#600887#002688#300355
56,宁波,000517#002103#002119#002142#002164#002322#002473#300118#600051#600114#600152#600177#600366#600768#600798#600830#600857#600884#600982#601018#600699#300163#601137#601116#002586#601567#601789#300314#601339#300329#603606#603088#603788#603997#603015#601689#300439#300539#601882#300566#603218#603877#603677#603637#300626#603178#603538#603081#300666#603617#603305#002896#300703#603076#600933#300727#300729#603917#603297#002937
57,拉萨,000762#600326#600749#601020#002827#603676
58,赣州,002378#300748
59,新乡,000949#002007
60,天津,000594#000836#000897#000965#002129#002134#002337#002393#002432#002510#300026#300119#300120#600082#600225#600322#600329#600468#600488#600535#600583#600645#600717#600800#600874#000695#300195#000652#300334#300375#603126#300407#603969#002820#002821#603727#300596#002887#603106#603712
61,江门,000576#000782#002600#300340#002723#002728#300403#603920#603335
62,南京,000421#000525#000727#000919#002024#002040#002090#002165#002182#002315#002380#600064#600087#600122#600128#600250#600268#600280#600282#600287#600377#600406#600501#600533#600562#600682#600710#600713#600716#600775#600889#600981#601007#601009#601688#300172#002546#002608#601928#300284#300295#300339#300356#603111#300402#603018#603518#002747#300447#600959#603066#603528#600919#300528#603900#300575#300585#300584#300598#300618#603955#300631#603041#603906#601952#603042#603326#300670#603387#603707#603912#300725#603916#300644#600901#300742#603666#601990#603693
63,长春,000631#000661#000686#000800#000875#002232#002338#600148#600189#600215#600333#600697#600742#600881#601518#000030#601929#300396#300510#603559#300597
64,吉林,600432#000420
65,济南,600102#000407#000409#000506#000951#000977#002117#002242#002339#600022#600350#600385#600547#600784#600807#600858#002598#600898#601028#000498#300443#300479#603029#300659#601019
66,汕头,000150#000534#000823#002167#002345#002433#002441#300057#600978#300281#601515#002741#002759#002762#603336#300586#002846#603630#002862#603797#002919
67,太原,000723#000767#000825#000968#000983#002500#600169#600281#600495#600539#600546#600617#600780#002640#300486
68,海口,000503#000505#000566#000572#000585#000735#000793#000886#002320#600209#600221#600238#600515#601118#300189#002693#603069#300630#002865
69,台州,000913#002003#002326#002021#002099#002112#002126#002250#002273#002332#600267#600512#002641#002664#002686#300351#603010#603456#603222#603085#603996#603520#002795#603033#603239#300587#603337#603089#603229#603767#603331#603757#603079#603500#300702
70,宝鸡,000561#000837#600379#600456
71,青岛,000599#002498#300001#300110#300143#600060#600229#600336#600600#600690#600735#002537#300183#300208#002768#603421#300569#603577#603639#601366#603187
72,威海,002026#002111#002248#002283#002376#600467#603021#603708
73,昆明,000538#000807#000878#000948#000960#002053#002059#002200#002265#300142#600093#600096#600239#600422#600459#600792#600806#000903#002727#002750#600025
74,贵阳,000540#000589#000733#000920#002025#002037#002039#600523#600594#600765#300288#601997#603058#600996#002873#603458#600903
75,上海,002022#002028#002058#002116#002158#002162#002178#002184#002195#002252#002269#002278#002324#002328#002346#002401#002451#002454#002486#002527#300008#300017#300039#300059#300061#300067#300074#300126#300129#300153#600000#600009#600018#600019#600021#600026#600072#600073#600081#600088#600097#600104#600115#600119#600150#600151#600170#600171#600193#600196#600210#600272#600278#600284#600320#600420#600490#600500#600503#600508#600517#600530#600532#600597#600601#600602#600604#600605#600606#600611#600612#600613#600615#600616#600618#600619#600620#600621#600622#600623#600624#600626#600628#600629#600630#600631#600634#600635#600638#600639#600640#600641#600642#600643#600647#600648#600649#600650#600651#600652#600655#600661#600662#600663#600675#600676#600679#600680#600688#600689#600692#600695#600696#600708#600732#600741#600748#600754#600818#600819#600820#600822#600823#600824#600825#600826#600827#600832#600833#600834#600835#600836#600837#600838#600841#600843#600845#600846#600848#600850#600851#600882#600895#601328#601601#601607#601727#601788#601866#601872#002211#600637#300168#601519#300170#300171#601616#300180#002561#002565#002568#600816#300222#300225#300226#300230#300236#300245#002605#300253#300257#600315#300262#600094#300272#002636#300286#601231#002669#603128#300326#300327#300330#300336#000863#603003#002706#300378#300380#603006#603009#300398#601021#603899#603012#603030#600958#603729#603020#300442#603718#603022#300462#603108#603885#603918#300469#601968#601211#300483#300493#300501#603868#300508#300511#601611#603131#603159#601595#603515#603189#603887#603777#300551#601229#603633#603987#002825#603886#300590#603579#603039#603690#603037#300578#603881#603330#300609#300613#603960#300627#002858#601200#300642#603232#603501#603728#603197#603855#603580#603196#603200#603496#603226#603730#603648#603378#603499#603466#603683#603659#603083#603619#603365#603329#603056#601828#603895#603214#603587#603650#603713#603192#603790
76,益阳,300123#002412#603989#002943
